date,hour,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,social_dominance,percent_change,rolling_avg_7h,rolling_avg_24h,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2024-05-16,04:00:00,65847.67,65847.67,65847.67,65824.13,41959871922.36,1297128340300.58,54.31336269365053,19698925,81,10.377966816299198,0.0,66037.24857142857,64531.16625,,,,,
2024-05-16,05:00:00,65831.29,65831.29,65831.29,65791.53,42003529660.21,1296805598332.01,54.42290801098893,19698925,80,10.164741054467315,0.0,65997.24428571429,64695.75875,65847.67,,,,
2024-05-16,06:00:00,65796.99,65932.65,65932.65,65685.56,42401588544.79,1298802319227.43,54.54702779481789,19698925,80,10.290926625411878,0.20617964438797115,65950.28714285714,64863.8125,65831.29,65847.67,,,
2024-05-16,07:00:00,65958.18,66163.45,66163.45,65928.65,42738721730.63,1303352231571.87,54.634970177427775,19698975,80,10.28942800629718,0.3112123469750137,65956.30285714286,65029.94791666668,65932.65,65831.29,65847.67,,
2024-05-16,08:00:00,66163.86,66265.74,66265.74,66116.26,42943537815.54,1305367070263.56,54.58472695896359,19698975,81,10.196231595890737,0.15398134268466904,66001.16428571429,65201.436666666676,66163.45,65932.65,65831.29,65847.67,
2024-05-16,09:00:00,66301.62,66354.9,66354.9,66135.39,42658828270.55,1307123509993.3,54.653709761357725,19698975,81,10.174879505924867,0.08036002740204364,66063.90428571429,65347.36541666667,66265.74,66163.45,65932.65,65831.29,65847.67
2024-05-16,10:00:00,66175.31,66175.31,66175.31,66126.67,41610152285.61,1303588162744.85,54.44910188912843,19699012,81,10.227889951588146,0.0,66081.57285714285,65492.912916666675,66354.9,66265.74,66163.45,65932.65,65831.29
2024-05-16,11:00:00,66174.83,66303.01,66303.01,66046.99,41173240487.94,1306103738650.01,54.74985378287288,19699012,81,10.385978578383645,0.1936990242362436,66146.62142857142,65652.18666666666,66175.31,66354.9,66265.74,66163.45,65932.65
2024-05-16,12:00:00,66240.82,66240.82,66240.82,65965.27,39457354557.24,1304878692356.93,54.49958494255822,19699012,81,10.608516165488773,0.0,66205.12571428572,65758.27249999999,66303.01,66175.31,66354.9,66265.74,66163.45
2024-05-16,13:00:00,66043.45,66294.49,66294.49,65822.85,37398416378.22,1305940456914.07,54.9257111343525,19699081,81,10.649963232632658,0.38011339504524394,66256.81714285714,65847.37916666667,66240.82,66303.01,66175.31,66354.9,66265.74
2024-05-16,14:00:00,65846.6,65846.6,65846.6,65666.59,36677825318.14,1297117566809.24,54.37266676587247,19699081,81,10.599355317861985,0.0,66211.55285714286,65906.49166666667,66294.49,66240.82,66303.01,66175.31,66354.9
2024-05-16,15:00:00,65656.72,65835.83,65835.83,65409.85,35708945657.89,1296905441197.87,55.042375149633614,19699081,81,10.508950085409491,0.27279766640794817,66150.13714285714,65948.92333333334,65846.6,66294.49,66240.82,66303.01,66175.31
2024-05-16,16:00:00,65167.18,65167.18,65167.18,65105.83,35749167442.47,1283736933779.26,54.245075025764734,19699134,81,10.55498743589646,0.0,65980.46285714286,65962.40083333333,65835.83,65846.6,66294.49,66240.82,66303.01
2024-05-16,17:00:00,64972.69,64972.69,64972.69,64613.06,36343245361.28,1279905639923.31,54.46086098735344,19699134,80,10.487367639224288,0.0,65808.66,65956.92166666666,65167.18,65835.83,65846.6,66294.49,66240.82
2024-05-16,18:00:00,65029.85,65150.66,65150.66,64855.44,35817819953.46,1283411649960.61,54.64150595985509,19699134,81,10.600199307915036,0.18577622430315457,65644.03857142858,65943.92541666668,64972.69,65167.18,65835.83,65846.6,66294.49
2024-05-16,19:00:00,65118.1,65265.36,65265.36,65094.66,33978051313.41,1285674674589.72,54.67644608353415,19699190,80,10.467212732557236,0.22614296178789314,65504.68714285714,65908.95458333332,65150.66,64972.69,65167.18,65835.83,65846.6
2024-05-16,20:00:00,65183.42,65241.84,65241.84,65078.34,32988808973.33,1285211436394.55,54.60589707526709,19699190,81,10.494781750503176,0.0896240178867544,65354.30857142858,65883.27625000001,65265.36,65150.66,64972.69,65167.18,65835.83
2024-05-16,21:00:00,65283.91,65481.26,65481.26,65259.24,32692455245.3,1289927809169.42,54.812619310409886,19699190,80,10.421271926337049,0.30229500653376695,65302.117142857154,65865.99250000001,65241.84,65265.36,65150.66,64972.69,65167.18
2024-05-16,22:00:00,65414.6,65414.6,65414.6,65157.13,32228791248.67,1288618696382.03,54.61423568504965,19699253,80,10.483643108976327,0.0,65241.94142857143,65836.9625,65481.26,65241.84,65265.36,65150.66,64972.69
2024-05-16,23:00:00,65261.67,65261.67,65261.67,65202.13,31602321232.52,1285606179779.49,54.524075967471965,19699253,80,10.56883176648478,0.0,65255.44,65795.30916666667,65414.6,65481.26,65241.84,65265.36,65150.66
