time,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,galaxy_score,alt_rank,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,volatility,spam
2024-05-15 18:00:00,65122.2,65462.57,65462.57,65007.31,34185129073.33,1289527129298.56,54.76452273038931,19698693,81,71,2,14226,1367,29186,1730,5769897,10.490372622808815,,
2024-05-15 19:00:00,65786.95,66104.66,66104.66,65364.29,36707039377.11,1302179970184.88,54.91001561459111,19698762,80,43,15,14205,1308,28851,1644,5899522,10.488717294331927,,
2024-05-15 20:00:00,65858.12,65858.12,65858.12,65818.59,37858667455.18,1297323471510.32,54.434674249831815,19698762,80,43,31,14420,1283,29290,1538,5942362,10.60002895193978,,
2024-05-15 21:00:00,65896.07,65896.07,65896.07,65851.23,38257347241.8,1298070990933.93,54.45165797746496,19698762,81,43,48,14617,887,29839,1125,5868363,10.553064169307378,,
2024-05-15 22:00:00,65892.13,66111.32,66111.32,65892.13,38918014699.65,1302314742635.55,54.68576623580529,19698815,79,73,1,14246,737,28145,953,4778418,10.45101446692214,,
2024-05-15 23:00:00,66143.84,66261.35,66261.35,66105.31,39756717842.34,1305270088807.12,54.71239563689904,19698815,80,73,109,13831,626,27525,709,3843043,10.651347816328585,,
2024-05-16 00:00:00,66121.34,66121.34,66121.34,65995.75,40822501331.76,1302512088677.24,54.463730933974894,19698815,79,73,82,13745,727,26785,921,4008334,10.470293449665585,,
2024-05-16 01:00:00,65951.71,65951.71,65951.71,65881.51,41168610594.83,1299174516919.65,54.39268450955457,19698875,80,73,134,13358,745,25998,935,4798900,10.356943669827105,,
2024-05-16 02:00:00,65915.72,65915.72,65915.72,65838.67,41533584499.78,1298465609898.06,54.45485122371914,19698875,80,73,212,13444,477,26493,573,5146801,10.1920065861606,,
2024-05-16 03:00:00,65924.51,66051.63,66051.63,65836.22,41827085305.63,1301142747188.97,54.61310124048574,19698875,80,45,39,13164,542,25839,774,3846953,10.167990839009763,,
2024-05-16 04:00:00,65847.67,65847.67,65847.67,65824.13,41959871922.36,1297128340300.58,54.31336269365053,19698925,81,73,70,12796,562,25107,844,4012688,10.377966816299198,,
2024-05-16 05:00:00,65831.29,65831.29,65831.29,65791.53,42003529660.21,1296805598332.01,54.42290801098893,19698925,80,73,243,13350,554,26112,679,3866767,10.164741054467315,,
2024-05-16 06:00:00,65796.99,65932.65,65932.65,65685.56,42401588544.79,1298802319227.43,54.54702779481789,19698925,80,58,56,13137,659,25610,880,3711359,10.290926625411878,,
2024-05-16 07:00:00,65958.18,66163.45,66163.45,65928.65,42738721730.63,1303352231571.87,54.634970177427775,19698975,80,73,5,13075,837,25490,1070,3835744,10.289428006297179,,
